Wall time,Step,Value
1589108352.4695656,0,2928199.75
1589108352.5457773,4,2928404.0
1589108352.607824,5,2931519.0
1589108352.672489,6,2952907.0
1589108352.736402,7,2938537.75
1589108352.8000453,8,2928986.75
1589108352.863306,9,2928646.0
1589108352.9270864,10,2954530.0
1589108352.9923604,11,2932171.0
1589108353.0582337,12,2929930.5
1589108353.1249166,13,2926776.0
1589108353.1927783,14,2939597.0
1589108353.2616823,15,2927209.0
1589108353.3309386,16,2931293.5
1589108353.3955903,17,2925490.5
1589108353.4618163,18,2927376.75
1589108353.5279982,19,2925068.0
1589108353.594855,20,2930543.25
1589108353.6595147,21,2924450.5
1589108353.727326,22,2927242.5
1589108353.79702,23,2923913.75
1589108353.86655,24,2930835.0
1589108353.9318876,25,2923473.5
1589108353.99949,26,2925768.0
1589108354.0680423,27,2922789.25
1589108354.137704,28,2930506.5
1589108354.204171,29,2922376.0
1589108354.2720563,30,2924988.5
1589108354.3410769,31,2921691.25
1589108354.411455,32,2928816.75
1589108354.4777238,33,2921354.0
1589108354.5455928,34,2923756.0
1589108354.6148996,35,2920954.75
1589108354.6855214,36,2928597.0
1589108354.751865,37,2920221.0
1589108354.8198102,38,2922395.5
1589108354.8893225,39,2919615.5
1589108354.960753,40,2928038.75
1589108355.0266383,41,2918981.0
1589108355.0944972,42,2920494.0
1589108355.16357,43,2918200.25
1589108355.2351234,44,2928236.0
1589108355.301556,45,2917448.0
1589108355.3693862,46,2920025.5
1589108355.4379349,47,2916677.75
1589108355.509228,48,2926469.0
1589108355.5752444,49,2916386.25
1589108355.6429827,50,2917568.75
1589108355.7117832,51,2915815.75
1589108355.7856884,52,2925393.5
1589108355.851972,53,2914726.75
1589108355.9198673,54,2916173.5
1589108355.9886813,55,2914369.0
1589108356.060897,56,2924230.0
1589108356.1266143,57,2913501.25
1589108356.1942103,58,2915132.0
1589108356.262725,59,2912932.5
1589108356.3348823,60,2923135.5
1589108356.400677,61,2912217.75
1589108356.468269,62,2914158.5
1589108356.537018,63,2911689.5
1589108356.6091728,64,2921458.75
1589108356.675319,65,2910669.5
1589108356.7429461,66,2913210.0
1589108356.811918,67,2910531.5
1589108356.8839512,68,2920603.0
1589108356.9495628,69,2908900.25
1589108357.017368,70,2913645.75
1589108357.0853631,71,2909147.0
1589108357.158283,72,2919982.0
1589108357.2240093,73,2907586.0
1589108357.2920113,74,2912421.5
1589108357.360327,75,2907763.25
1589108357.4332626,76,2919715.5
1589108357.514518,77,2905706.75
1589108357.58229,78,2911906.0
1589108357.6507404,79,2905677.75
1589108357.723861,80,2918806.5
1589108357.7921696,81,2903669.5
1589108357.860288,82,2912048.5
1589108357.9286616,83,2903552.75
1589108358.0022879,84,2918016.25
1589108358.0672393,85,2902055.75
1589108358.1343613,86,2907668.5
1589108358.2021925,87,2901272.5
1589108358.27515,88,2917336.0
1589108358.3403964,89,2900050.25
1589108358.4073398,90,2905910.0
1589108358.4745965,91,2899088.25
1589108358.5476098,92,2915487.25
1589108358.6126084,93,2898297.0
1589108358.6798792,94,2905224.5
1589108358.747405,95,2897470.25
1589108358.82166,96,2913853.75
1589108358.8870447,97,2896565.25
1589108358.9540505,98,2903111.5
1589108359.0216265,99,2895768.0
1589108359.095165,100,2912152.5
1589108359.1591935,101,2895109.5
1589108359.2259133,102,2901898.0
1589108359.2930095,103,2894303.5
1589108359.3673348,104,2910337.5
1589108359.4319224,105,2893626.5
1589108359.4985487,106,2899546.5
1589108359.5656042,107,2892726.5
1589108359.6399212,108,2908181.25
1589108359.7039309,109,2891427.5
1589108359.7733862,110,2898370.0
1589108359.8403847,111,2890788.0
1589108359.914915,112,2907922.0
1589108359.9793222,113,2890033.0
1589108360.0461369,114,2897164.5
1589108360.1137192,115,2889219.0
1589108360.188365,116,2908881.0
1589108360.2526171,117,2888971.75
1589108360.3189654,118,2892578.0
1589108360.385896,119,2887469.25
1589108360.459995,120,2906632.5
1589108360.5241463,121,2887316.5
1589108360.5902648,122,2890451.75
1589108360.6562061,123,2885973.0
1589108360.7306213,124,2904141.5
1589108360.7945974,125,2885622.5
1589108360.8605688,126,2888718.0
1589108360.9273717,127,2884373.5
1589108361.0027144,128,2902026.5
1589108361.0671654,129,2884073.5
1589108361.1331904,130,2885814.0
1589108361.1998942,131,2882702.5
1589108361.275275,132,2900331.75
1589108361.3389742,133,2882194.0
1589108361.4046154,134,2883981.0
1589108361.4707448,135,2880874.25
1589108361.5460873,136,2899460.5
1589108361.610167,137,2879300.0
1589108361.6761672,138,2883405.5
1589108361.742841,139,2877880.5
1589108361.8222706,140,2898144.5
1589108361.8858533,141,2877653.5
1589108361.9513237,142,2879902.25
1589108362.0175269,143,2875960.25
1589108362.092947,144,2896837.0
1589108362.1565158,145,2875737.25
1589108362.223112,146,2878503.5
1589108362.2899938,147,2873941.5
1589108362.3661764,148,2894726.0
1589108362.4297185,149,2873546.5
1589108362.4952295,150,2877883.0
1589108362.5608919,151,2872106.5
1589108362.6365275,152,2892016.75
1589108362.717031,153,2871538.5
1589108362.7829478,154,2876845.5
1589108362.8488796,155,2870733.75
1589108362.924963,156,2890366.0
1589108362.9880989,157,2869685.75
1589108363.0532396,158,2874251.25
1589108363.1191611,159,2868938.5
1589108363.1947138,160,2888545.5
1589108363.2574906,161,2867879.5
1589108363.3232825,162,2872484.5
1589108363.3885612,163,2867112.5
1589108363.465268,164,2886311.75
1589108363.5280335,165,2865912.25
1589108363.5930595,166,2870286.25
1589108363.6581032,167,2865167.75
1589108363.7349935,168,2885211.0
1589108363.8007236,169,2863254.25
1589108363.86609,170,2869073.0
1589108363.9309897,171,2862936.5
1589108364.0075538,172,2882472.0
1589108364.070802,173,2861403.25
1589108364.136397,174,2866408.0
1589108364.2012017,175,2860875.0
1589108364.277863,176,2881003.75
1589108364.3409398,177,2860097.25
1589108364.4057724,178,2864477.5
1589108364.4708025,179,2859404.25
1589108364.5476685,180,2878322.0
1589108364.6100614,181,2857769.75
1589108364.6749568,182,2859902.75
1589108364.7401536,183,2857196.25
1589108364.817061,184,2875419.5
1589108364.879384,185,2855674.5
1589108364.9445324,186,2858157.0
1589108365.0098066,187,2855239.25
1589108365.0870194,188,2873535.5
1589108365.1492722,189,2853360.0
1589108365.214242,190,2856233.5
1589108365.2791202,191,2852787.75
1589108365.3564398,192,2871132.25
1589108365.4188936,193,2851252.0
1589108365.483633,194,2854454.75
1589108365.54803,195,2850475.0
1589108365.6258228,196,2868894.5
1589108365.688233,197,2849330.0
1589108365.7529936,198,2851386.25
1589108365.8209252,199,2848227.75
1589108365.8988986,200,2866514.0
1589108365.9614677,201,2846905.0
1589108366.0264804,202,2848851.0
1589108366.0916884,203,2846198.0
1589108366.1696346,204,2864965.5
1589108366.2317667,205,2844239.75
1589108366.2959523,206,2847604.25
1589108366.3598337,207,2843407.5
1589108366.4379497,208,2863290.0
1589108366.5000944,209,2841462.5
1589108366.563993,210,2845406.25
1589108366.6279988,211,2840944.25
1589108366.706115,212,2860815.0
1589108366.7682824,213,2839086.75
1589108366.8323717,214,2842887.0
1589108366.8963735,215,2838130.5
1589108366.9746883,216,2858655.25
1589108367.0369384,217,2836468.0
1589108367.1012378,218,2840247.0
1589108367.165551,219,2835368.5
1589108367.2438173,220,2856573.75
1589108367.3062062,221,2834742.0
1589108367.369838,222,2839022.75
1589108367.4521513,223,2834323.25
1589108367.53113,224,2853074.5
1589108367.5931308,225,2832229.0
1589108367.6569254,226,2835825.5
1589108367.7201684,227,2831837.0
1589108367.798811,228,2850185.75
1589108367.8588843,229,2830401.5
1589108367.9224043,230,2833704.0
1589108367.986002,231,2829922.5
1589108368.0651443,232,2847479.5
1589108368.1272292,233,2827490.75
1589108368.1904032,234,2831030.0
1589108368.253987,235,2827197.0
1589108368.3331628,236,2843775.5
1589108368.3944516,237,2825094.0
1589108368.4572177,238,2827174.75
1589108368.5207093,239,2824745.5
1589108368.5992174,240,2841162.5
1589108368.6609466,241,2822278.75
1589108368.7241867,242,2824818.0
1589108368.7871842,243,2821983.25
1589108368.8662498,244,2837656.0
1589108368.927216,245,2820441.25
1589108368.9902444,246,2821424.0
1589108369.052978,247,2820087.5
1589108369.1321278,248,2834584.75
1589108369.1939926,249,2818584.5
1589108369.2568407,250,2818887.25
1589108369.319439,251,2818107.75
1589108369.3991346,252,2832313.0
1589108369.46097,253,2815553.25
1589108369.5245128,254,2816023.0
1589108369.5878694,255,2815078.75
1589108369.6676288,256,2829912.0
1589108369.7292428,257,2812889.5
1589108369.7922432,258,2813376.5
1589108369.8550606,259,2812419.25
1589108369.9350758,260,2827328.75
1589108369.996338,261,2810775.75
1589108370.0584707,262,2811369.75
1589108370.1213665,263,2810414.25
1589108370.2017603,264,2825170.5
1589108370.2634637,265,2807493.75
1589108370.3265808,266,2808363.75
1589108370.3897233,267,2807343.25
1589108370.470307,268,2822183.0
1589108370.5317159,269,2804852.5
1589108370.594496,270,2805995.5
1589108370.6572754,271,2804687.0
1589108370.7379231,272,2819245.5
1589108370.7990992,273,2801714.5
1589108370.862067,274,2802770.5
1589108370.924928,275,2801541.0
1589108371.0056262,276,2816338.5
1589108371.067212,277,2798895.5
1589108371.129818,278,2800155.5
1589108371.1924,279,2798742.75
1589108371.2733812,280,2813754.5
1589108371.334745,281,2795917.0
1589108371.3965542,282,2797501.25
1589108371.4590156,283,2795896.25
1589108371.5400395,284,2810685.5
1589108371.6004353,285,2792306.5
1589108371.662843,286,2792800.0
1589108371.7462287,287,2791871.5
1589108371.8277977,288,2807961.5
1589108371.8887336,289,2789456.0
1589108371.9507685,290,2788589.5
1589108372.0129187,291,2789207.0
1589108372.0939536,292,2804639.5
1589108372.153931,293,2787161.25
1589108372.2163587,294,2786358.5
1589108372.2783616,295,2786564.0
1589108372.359883,296,2801227.0
1589108372.420619,297,2783960.0
1589108372.482402,298,2783325.25
1589108372.5444126,299,2783408.25
1589108372.626403,300,2798569.5
1589108372.6871705,301,2781562.0
1589108372.7489738,302,2781036.0
1589108372.8108373,303,2781059.75
1589108372.892545,304,2795805.5
1589108372.953409,305,2778705.75
1589108373.0150611,306,2779507.5
1589108373.0768263,307,2778376.75
1589108373.1590583,308,2792963.5
1589108373.2196257,309,2776519.0
1589108373.281241,310,2776781.75
1589108373.342397,311,2776041.0
1589108373.424478,312,2790200.5
1589108373.4846842,313,2773316.25
1589108373.5467007,314,2774441.25
1589108373.6082962,315,2773055.25
1589108373.6901734,316,2787563.75
1589108373.7502394,317,2770444.25
1589108373.8110387,318,2771586.5
1589108373.872126,319,2770269.5
1589108373.954511,320,2784672.5
1589108374.0146198,321,2768076.75
1589108374.0759974,322,2768762.25
1589108374.137121,323,2767814.75
1589108374.2192776,324,2781309.25
1589108374.278992,325,2765488.5
1589108374.3400593,326,2765645.25
1589108374.401236,327,2765246.0
1589108374.484085,328,2777676.75
1589108374.5446372,329,2762150.0
1589108374.6061943,330,2762298.5
1589108374.667183,331,2761950.25
1589108374.7503247,332,2774877.0
1589108374.8108304,333,2759084.5
1589108374.8712535,334,2759626.5
1589108374.9325259,335,2759051.0
1589108375.015984,336,2772058.0
1589108375.0759723,337,2757250.0
1589108375.1366973,338,2757830.0
1589108375.1976857,339,2756812.0
1589108375.2813225,340,2768231.5
1589108375.3412137,341,2754099.0
1589108375.40198,342,2754194.5
1589108375.4627802,343,2753593.75
1589108375.546158,344,2764597.5
1589108375.6064482,345,2751011.75
1589108375.6669226,346,2750922.75
1589108375.7277176,347,2750925.25
1589108375.8119128,348,2761208.5
1589108375.871624,349,2748327.0
1589108375.9322188,350,2748295.0
1589108375.9927876,351,2748240.5
1589108376.0997083,352,2757711.0
1589108376.1602232,353,2745724.5
1589108376.2206218,354,2745656.0
1589108376.2812245,355,2745676.5
1589108376.3655734,356,2754674.0
1589108376.424431,357,2742775.0
1589108376.4851742,358,2742849.0
1589108376.5455987,359,2742841.25
1589108376.629666,360,2751816.25
1589108376.6901476,361,2741277.0
1589108376.7503316,362,2740996.0
1589108376.8107204,363,2741054.0
1589108376.8956268,364,2749013.0
1589108376.9556806,365,2737999.0
1589108377.016505,366,2737857.75
1589108377.0770211,367,2737876.0
1589108377.1615143,368,2745745.25
1589108377.2216027,369,2735794.75
1589108377.281509,370,2735559.75
1589108377.3419545,371,2735571.0
1589108377.426584,372,2742873.0
1589108377.4860907,373,2733601.5
1589108377.5463836,374,2733132.0
1589108377.6063826,375,2733264.0
1589108377.6909256,376,2740098.75
1589108377.7504606,377,2731908.75
1589108377.8102393,378,2731480.5
1589108377.8702939,379,2731608.0
1589108377.9557579,380,2737095.5
1589108378.0160437,381,2728558.75
1589108378.0764432,382,2728105.0
1589108378.1363437,383,2728277.75
1589108378.222001,384,2734261.75
1589108378.2812505,385,2726138.25
1589108378.341596,386,2725813.0
1589108378.4017212,387,2725935.0
1589108378.4877417,388,2731711.5
1589108378.5473223,389,2723964.0
1589108378.6075299,390,2723776.75
1589108378.667375,391,2723811.5
1589108378.7531152,392,2728608.0
1589108378.8124692,393,2721219.5
1589108378.872307,394,2721023.25
1589108378.9321778,395,2721049.5
1589108379.0182097,396,2725801.75
1589108379.0779567,397,2717226.5
1589108379.138026,398,2717088.5
1589108379.1982658,399,2717142.75
1589108379.2851193,400,2723451.5
1589108379.3444922,401,2715773.5
1589108379.404177,402,2715684.0
1589108379.464594,403,2715722.0
1589108379.5517354,404,2721099.75
1589108379.6111119,405,2714332.5
1589108379.6714761,406,2714194.25
1589108379.7314823,407,2714254.0
1589108379.8181164,408,2718602.5
1589108379.877982,409,2712458.5
1589108379.9631512,410,2712344.0
1589108380.0233302,411,2712384.0
1589108380.1103227,412,2716144.5
1589108380.170141,413,2709978.25
1589108380.229728,414,2709957.0
1589108380.2894313,415,2709946.5
1589108380.3766932,416,2713565.5
1589108380.436154,417,2707832.5
1589108380.4953492,418,2707854.5
1589108380.555109,419,2707836.75
1589108380.6422763,420,2711317.5
1589108380.7004998,421,2705792.5
1589108380.7603207,422,2705932.25
1589108380.8200486,423,2705891.25
1589108380.9079921,424,2708864.5
1589108380.967266,425,2704525.25
1589108381.0269935,426,2704626.0
1589108381.0866354,427,2704614.5
1589108381.1746364,428,2706393.0
1589108381.2345123,429,2702181.5
1589108381.2940447,430,2702065.0
1589108381.3533647,431,2702082.25
1589108381.4416249,432,2704443.0
1589108381.5010242,433,2700543.75
1589108381.5606835,434,2700524.0
1589108381.6204221,435,2700533.0
1589108381.7086425,436,2702512.5
1589108381.7681663,437,2699248.5
1589108381.827976,438,2699211.0
1589108381.8873339,439,2699217.0
1589108381.9755929,440,2700596.25
1589108382.0352473,441,2697963.25
1589108382.0943718,442,2697910.0
1589108382.1531208,443,2697909.5
1589108382.241872,444,2699125.75
1589108382.3010337,445,2696756.5
1589108382.3604002,446,2696746.0
1589108382.4199533,447,2696746.5
1589108382.5090022,448,2697615.25
1589108382.568429,449,2695918.5
1589108382.6277213,450,2695913.5
1589108382.686818,451,2695912.75
1589108382.775446,452,2696108.25
1589108382.8338532,453,2694491.5
1589108382.8931715,454,2694473.75
1589108382.9523559,455,2694474.5
1589108383.0414352,456,2695258.25
1589108383.1004705,457,2694101.75
1589108383.1598768,458,2694092.5
1589108383.2191257,459,2694092.0
1589108383.3086581,460,2694236.0
1589108383.366554,461,2693216.5
1589108383.4258811,462,2693206.75
1589108383.4853053,463,2693207.5
1589108383.5743814,464,2693354.5
1589108383.6329548,465,2692561.0
1589108383.6924212,466,2692560.5
1589108383.7514422,467,2692560.25
1589108383.841643,468,2692609.0
1589108383.8997633,469,2692121.0
1589108383.9592001,470,2692127.25
1589108384.0182178,471,2692129.0
1589108384.1083763,472,2692138.75
1589108384.1664782,473,2691948.0
1589108384.2248046,474,2691948.25
1589108384.283333,475,2691948.75
1589108384.3732905,476,2691983.0
1589108384.430986,477,2691883.0
1589108384.4871142,478,2691883.0
1589108384.5747054,480,2691883.0
