Wall time,Step,Value
1589108346.1622498,187,2752021.0
1589108346.2490218,188,2759704.5
1589108346.3097594,189,2750076.25
1589108346.3979611,190,2757905.0
1589108346.4594631,191,2747848.25
1589108346.5472276,192,2754512.25
1589108346.6073053,193,2745837.0
1589108346.6944149,194,2752072.0
1589108346.7545583,195,2743713.25
1589108346.8430707,196,2750498.5
1589108346.9034405,197,2741844.0
1589108346.9907403,198,2747916.0
1589108347.0521533,199,2739849.0
1589108347.1387537,200,2745090.75
1589108347.1998599,201,2736670.5
1589108347.2868733,202,2742516.5
1589108347.3472118,203,2735622.5
1589108347.435275,204,2740326.25
1589108347.4951804,205,2733613.75
1589108347.5845547,206,2737803.5
1589108347.645852,207,2731635.5
1589108347.73598,208,2735336.75
1589108347.7956488,209,2729558.0
1589108347.8844259,210,2733270.75
1589108347.943365,211,2728189.75
1589108348.0328858,212,2731222.5
1589108348.092515,213,2727192.75
1589108348.1826448,214,2729276.0
1589108348.2427113,215,2725749.0
1589108348.358632,216,2727440.5
1589108348.4192276,217,2723585.75
1589108348.508969,218,2725349.0
1589108348.5685997,219,2722034.0
1589108348.6596496,220,2723622.0
1589108348.7186143,221,2720693.25
1589108348.8104925,222,2722018.5
1589108348.870461,223,2719789.0
1589108348.961543,224,2720498.75
1589108349.0208886,225,2718040.75
1589108349.1122646,226,2719267.75
1589108349.1708672,227,2717526.0
1589108349.2635617,228,2718120.5
1589108349.3231559,229,2716679.0
1589108349.4150777,230,2716862.5
1589108349.4751067,231,2715850.75
1589108349.568559,232,2716050.25
1589108349.626786,233,2715426.75
1589108349.7192569,234,2715453.25
1589108349.7782202,235,2715121.0
1589108349.870765,236,2714998.0
1589108349.929842,237,2714824.0
1589108350.0225177,238,2714798.0
1589108350.08053,239,2714841.5
1589108350.1721487,240,2714810.0
