Wall time,Step,Value
1589108321.1026237,0,2928199.75
1589108321.1788487,1,2928404.0
1589108321.2418854,2,2928023.75
1589108321.3088303,3,2927797.5
1589108321.3769362,4,2927321.5
1589108321.4453588,5,2926868.0
1589108321.5134864,6,2926325.0
1589108321.5817003,7,2925731.5
1589108321.6505694,8,2924925.5
1589108321.7191641,9,2924131.75
1589108321.7884843,10,2923069.5
1589108321.8578086,11,2922090.0
1589108321.9271448,12,2921113.75
1589108321.9976423,13,2920027.0
1589108322.067016,14,2918980.5
1589108322.1384208,15,2917948.25
1589108322.2093506,16,2916506.5
1589108322.2800498,17,2915388.75
1589108322.3504102,18,2914115.25
1589108322.42147,19,2912909.5
1589108322.491482,20,2911492.0
1589108322.562142,21,2910323.5
1589108322.6327665,22,2908867.75
1589108322.7037008,23,2907734.0
1589108322.7756042,24,2906225.75
1589108322.847674,25,2904845.75
1589108322.9185803,26,2903565.25
1589108322.9924943,27,2902217.5
1589108323.0644562,28,2900836.25
1589108323.136788,29,2899333.0
1589108323.209541,30,2897946.75
1589108323.2839863,31,2896240.25
1589108323.3571107,32,2894805.0
1589108323.4297433,33,2893268.75
1589108323.5022037,34,2891548.0
1589108323.5751674,35,2890055.0
1589108323.6488762,36,2888339.75
1589108323.7222247,37,2886707.5
1589108323.796268,38,2885186.75
1589108323.8701873,39,2883617.5
1589108323.9442062,40,2882139.0
1589108324.0189342,41,2880556.5
1589108324.0922742,42,2879082.75
1589108324.1661224,43,2877150.0
1589108324.2421052,44,2875578.5
1589108324.318043,45,2873761.5
1589108324.3944793,46,2872139.0
1589108324.471168,47,2870368.5
1589108324.5470088,48,2868740.75
1589108324.624193,49,2867025.5
1589108324.701022,50,2865359.75
1589108324.7774992,51,2863667.75
1589108324.8542042,52,2861915.5
1589108324.9308848,53,2859946.25
1589108325.007183,54,2858182.0
1589108325.083943,55,2856216.0
1589108325.1795654,56,2854191.0
1589108325.2567298,57,2852193.75
1589108325.3318605,58,2850183.75
1589108325.408928,59,2848045.5
1589108325.4864624,60,2845995.5
1589108325.566221,61,2843666.5
1589108325.6454384,62,2841579.5
1589108325.7243109,63,2839096.0
1589108325.8023927,64,2836941.75
1589108325.8810177,65,2834595.75
1589108325.9598851,66,2832214.5
1589108326.0386188,67,2829967.0
1589108326.1186488,68,2827663.25
1589108326.1998708,69,2825525.0
1589108326.2802904,70,2823362.5
1589108326.3607273,71,2821345.0
1589108326.440593,72,2819041.25
1589108326.5231113,73,2816824.75
1589108326.6032414,74,2814539.75
1589108326.6851597,75,2812260.5
1589108326.7663617,76,2810274.25
1589108326.8480663,77,2808043.5
1589108326.9299119,78,2805545.75
1589108327.0115438,79,2803052.5
1589108327.0930889,80,2800767.25
1589108327.1752334,81,2798293.5
1589108327.2586782,82,2795985.25
1589108327.3425753,83,2793832.5
1589108327.4266987,84,2791595.0
1589108327.5110295,85,2788672.0
1589108327.5947053,86,2786485.25
1589108327.6796951,87,2784024.25
1589108327.7646785,88,2781863.5
1589108327.8483782,89,2779719.75
1589108327.9326441,90,2777457.0
1589108328.0184677,91,2775303.0
1589108328.102661,92,2772732.0
1589108328.1876757,93,2770243.25
1589108328.272418,94,2768257.75
1589108328.3809152,95,2766231.5
1589108328.465509,96,2764311.75
1589108328.5511582,97,2762489.5
1589108328.6362112,98,2760540.25
1589108328.7217238,99,2758260.25
1589108328.807329,100,2756408.0
1589108328.8939822,101,2754677.5
1589108328.9796486,102,2752294.5
1589108329.0688403,103,2750273.75
1589108329.1568003,104,2748613.0
1589108329.2443767,105,2747069.25
1589108329.3310978,106,2745134.25
1589108329.4190986,107,2743260.5
1589108329.5066504,108,2741409.5
1589108329.5948186,109,2739913.75
1589108329.6843014,110,2738261.25
1589108329.7734091,111,2736697.75
1589108329.8621404,112,2735572.75
1589108329.9515927,113,2734396.5
1589108330.0404031,114,2733080.0
1589108330.1311643,115,2732164.0
1589108330.2209861,116,2731501.5
1589108330.3112268,117,2730859.5
1589108330.400611,118,2730700.0
1589108330.4914021,119,2730492.5
1589108330.5809999,120,2730407.0
